question,answer,llms_result,bleu_score
老师，书也是免费分发的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,同学，咱们这9天课程和邮寄手册都是免费的哈,0.4231772577216397
你能听懂我说的内容吗？,不用担心，你这次参加的就是小白课、老师就是用大白话讲课的，内容通俗易懂，来听一节课就知道了,能呀，你放心说就行,7.563850534008507e-156
同学们应该互相添加为朋友,同学之前不要随意加，只加老师就可以,好的同学，那老师给你单独开课，你进课堂后点我的头像，点击右上角“添加到通讯录”，就可以添加微信了,3.974539328672128e-155
能否提供之前的录播内容？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，咱们的课程是免费的直播课哈，没有回放的,9.319361112192219e-232
指的是哪一科目的课程？,咱们是9天的免费理财课，给同学们专门去普及理财方法与防骗知识的~，你学会掌握了理财知识和方法以后，有机会让咱们每个月有个千八百甚至上千元的额外收益的哈，你听一节课就知道了同学,咱们这次课程是关于理财知识的，9天时间，老师专门给你设计了9个主题，包括理财基础知识、如何选择理财产品、怎么做好家庭财务规划等。,3.788001582557956e-155
我们是否在北京这座城市？,是的，公司在北京哦~,同学，咱们是线上课程，无论您在哪，都可以参加,1.1988328686372911e-231
怎么开始,咱们是用手机上课，开课当天我会把上课链接发给你，微信点链接就能上课学习了,你只要按时上完第一课，地址开课第二天我会发给你，你点链接就能上课了,0.15413757980002102
这是哪一课程的学科？,咱们9天的课会给你普及8种理财知识以及每天一个防骗知识的普及，是有机会增加非工资收入的,咱们是大学的课程,1.968567975587691e-233
偶尔会有些事情要处理,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,同学，那这样行不行，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,1.3091834502273125e-231
老师，您来决定发货事宜吧。,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,好的同学，那到时候有时间的话，咱们尽量按时听课，实在不行的话，到时候我再帮你安排回放学习,5.969061643530969e-155
我想知道我的学习资料什么时候可以收到？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们的9天课程和邮寄手册都是免费的，你放心，到时候我会给你发地址的,2.2300401552695747e-78
老师听课能得到哪些好处呢？,2本理财知识手册,你来参加9天的课程，可以掌握很多理财知识和方法。,4.506889438070446e-155
老师，我可能不会加入，感谢您的邀请，对此我深感歉意。,没时间的话，那你可以观看回放的，到时候可以先进入课程签到下，回放出来后我发给你下，你就可以观看回放，如果您实在想退可以在联系我,同学，那这样行不行，开课当天你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,4.038113485324535e-155
如何进入教室,咱们是用手机上课，开课当天我会把上课链接发给你，微信点链接就能上课学习了,同学，您用手机微信扫描一下咱们老师上课开始后发给您的上课二维码就可以进入课堂了,5.359624986283916e-155
时间不允许我听课,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
老师，我每天都在打工，但没有钱，怎么理财呢？,同学，就因为咱们现在没钱才更应该来学习理财，学到了理财方法，去有机会改变咱们的生活，而且您现在没钱，不代表我们以后也没钱，多学习一门技能肯定是对您有帮助的,你这同学咱们尽量按时上课，有机会的话，你听一节课就知道了,9.071525682849583e-156
现在还不清楚是否能接电话，到时候看是否忙碌,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,那同学咱们尽量按时听课吧，实在不行的话，老师再帮你安排回放学习吧,0.8578928092681435
这是给几年级学生上的课？,咱们是9天的免费理财课，给同学们专门去普及理财方法与防骗知识的~，你学会掌握了理财知识和方法以后，有机会让咱们每个月有个千八百甚至上千元的额外收益的哈，你听一节课就知道了同学,同学，咱们的课程是专门针对高中生和大学生设计的哈,3.035914116155198e-156
晚上我得去工作，因为我有夜班。,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
请直接将回放发给我。,好的，同学，咱们的课程是有回放的，老师单独给您备注好了，晚上上课的时候您进课堂签到一下，回放我申请好了，到时候单独发您，您记得关注我的消息哈,同学，咱们是9点开始上课的哈，开课后你进课堂待十几分钟，激活一下回放，到时候有时间了咱们看回放,1.5983586744627238e-78
听你的课是不是要花钱？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,咱们这9天的课程是免费的，无任何套路和隐性消费的哈,0.24957896338361904
理才的职责范围包括哪些,理财就是合理规划自己的资产，有机会让自己资产保值增值，让自己有机会多一份收入，改善生活质量,1、帮助同学掌握学习方法，掌握学习技巧；2、帮助同学提高成绩；3、帮助同学学会时间管理；4、帮助同学提高心理素质，提高抗压能力,8.784466509829401e-232
继续笔记整理,学习效果更好是自愿的哈,那同学咱们按时听课，老师给你发的回放，你有时间了可以看回放,8.614911585158347e-232
觉得自己可能不够聪明，还是退出吧,不用担心，你这次参加的就是小白课、老师就是用大白话讲课的，内容通俗易懂，来听一节课就知道了,你这么说可就不对了，每个人都有自己的优点和不足。你已经通过了9天的课程学习，老师和同学都对你有很高的评价，相信你在之后的学习中会更加优秀！,1.1750818410349762e-231
老师，我们投资的软件是哪一款？,微信，支付宝都可以操作的,咱们是用的通达信炒股软件,1.1200407237786664e-231
讲述的主题是什么,咱们是9天的免费理财课，给同学们专门去普及理财方法与防骗知识的~，你学会掌握了理财知识和方法以后，有机会让咱们每个月有个千八百甚至上千元的额外收益的哈，你听一节课就知道了同学,这堂课是给你做免费的理财和防骗知识科普，帮你提升理财意识与防骗能力,1.4409122448173894e-155
上一小时的课大概会消耗多少流量？,这个没有多少的哈，不用担心，课程一共只有九天，坚持一下，很多同学也都是这么学习，好好学，以后有机会多一份收入，改善生活质量的哈,同学，咱们这个课程是免费的不花钱的哈，无任何套路的哦，不用担心的哈,2.2099188693552035e-78
如果我感觉良好，可以介绍一些新成员进来吗？,不能的，不是咱们班同学进不来，您可以和他一起看,同学，你这种想法很好啊，你把咱们课程的地址发给你身边的人，让你们一起学习吧,1.2751495852793276e-231
没钱的人理财有什么意义,同学，就因为咱们现在没钱才更应该来学习理财，学到了理财方法，去有机会改变咱们的生活，而且您现在没钱，不代表我们以后也没钱，多学习一门技能肯定是对您有帮助的,我们不是说有钱人和没钱人的理财方式不一样，而是不同的收入情况需要的理财方式不同。如果你是每个月有固定工资，那理财的目的就是让这笔钱在风险可控的情况下增值，增加你的资产；如果你是刚工作没多久，每月有工资，但还没到发工资的时候，那你可以学习一下怎么去合理规划自己的生活开销和投资，让自己的生活更有条理、更有目的性，而不是每个月到月底就想着要花钱了,3.735111828735862e-155
微信党课从晚上七点开始，到九点结束。,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
刚才老师需要地址，我是否应该把地址分享给你？,同学，咱们按时上完第一课，开课第二天我会找您登记地址的哈，连续听课4天就会安排邮寄了~,同学咱们是免费的9天课，无任何套路和目的，你放心，无任何风险的哈,4.363385647249585e-155
老师，您好！参加这个群组对我们会有影响吗？,不会的，放心吧,同学，咱们是免费听课的，无任何套路的哈,5.019362538473707e-155
什么时候需要缴纳学费？学完之后是否还需要缴纳学费？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,您好，咱们是9天的免费课程，不花钱的哈,0.11691375960764903
我能理解这些话的意思吗？,不用担心，你这次参加的就是小白课、老师就是用大白话讲课的，内容通俗易懂，来听一节课就知道了,能呀,0.0
回放功能在哪里？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，咱们可以观看回放的，你进课堂签到一下、听课一下，回放出来后我会单独发给你哈,0.15083364266523736
收入是来自听课，还是另有来源？,我们课程教的是理财方法啊，学习之后你可以根据自己的情况进行理财,咱们的课和书都是免费的，9天理财课是专门教您如何理财的课程，有机会让您的钱生钱！,1.3091834502273125e-231
没时间去听,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,9.316088356080623e-232
这要是赚不到钱，岂不是毫无意义？,老师教你的都是理财知识和方法啊，掌握了方法才有机会获得理财收益,您不用担心，咱们这9天的课程是专门针对小白投资者设计的，9天后您学会理财方法和防骗知识，到时候有收益了，您再给我发红包就行,1.2964094013418962e-231
老师，我可以使用录屏功能吗？,不用录屏，我给咱们发回放就好了,可以的，同学,2.2386076440877334e-232
可以推迟一点时间吗？八点我不行。,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
上课听讲能理解吗,不用担心，你这次参加的就是小白课、老师就是用大白话讲课的，内容通俗易懂，来听一节课就知道了,咱们的课是给零基础同学专门准备的，小白也能听得懂，放心听课就行~,3.672581505594886e-155
江老师，您好！因为有其他事情，我可能无法参加课程，您那里有课程的回放吗？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学你好，回放出来后我会单独发给你，你关注一下消息,0.24878048158595434
收取费用吗？需要花钱吗？,书是免费赠送的，并免费包邮到家的哈,同学，咱们的课程是免费的，无任何套路，你放心学习就行,6.53175655370481e-155
这本书我不再需要了，想放弃,可以的，那咱可以准时听课吗？,那同学咱们尽量坚持一下，每天学一点，你这次的考试机会就多一次，实在不行的话，老师再帮你安排一个回放，你有时间了可以看回放,1.0309964493856291e-231
不需要发送地址信息吗？,同学，咱们按时上完第一课，开课第二天我会找您登记地址的哈，连续听课4天就会安排邮寄了~,同学，咱们的邮寄地址和开课通知是分开的哈，到时候我单独给你发个链接，你点击观看就行,3.2683416997819595e-78
您好，林老师，有课程回放可以看吗？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，可以看回放的哈，回放出来后我会单独发给你，你点击回放链接就可以观看课程,0.5664439143400164
谁会收到免费书，请提供收货地址。,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们先上课、参加活动、签到、答题、观看回放等有机会获得免费书的，连续听课4天就有机会了,0.1196942203138118
老师，我最近比较忙，有时没时间听课，能否提供回放让我有空时复习？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，可以听回放的，回放出来后我会单独发给你，你点击回放链接就可以观看课程,0.6383964846132485
领取书籍，到底是什么书？,2本理财知识手册,《Python学习手册》,1.2183324802375697e-231
既然学习是免费的，还需要额外付费吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,同学，咱们这次课程和邮寄手册都是免费的，无任何套路，你放心听就是了,0.5106181696768389
这真的可以带来收入吗？,同学，咱们来学习就是来提升咱们的理财技能的，可以在这些理财技能中找到一个适合自己的哈,咱们是用知识付费的模式来给同学们上课的，老师会把课程大纲和你分享一下，你到时候按时听课，认真完成作业，有机会免费获得理财证书，你放心学习就行,3.963267688197294e-155
书什么时候能给我？,同学，咱们按时上完第一课，开课第二天我会找您登记地址的哈，连续听课4天就会安排邮寄了~,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈,0.43929160861067146
九点回到家，我八点才结束工作。,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
上课是在哪个地方进行的？,咱们是用手机上课，开课当天我会把上课链接发给你，微信点链接就能上课学习了,同学，咱们是用手机上课的哈,0.12313623403432163
这会有费用产生吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,不会的，我们是免费的,4.360377048362836e-79
老师，您好，我想知道进群后如何完成签到。,老师教您哈，您还记得你加我微信的班级群吗，找到班级群输入：签到两个字就可以了，上课前群里也会给您发上课链接的,同学，咱们可以先关注一下我，到时候有消息了您就会看到，连续听课4天就会激活签到了哈,8.911809961913257e-232
好像讲的这些都没有什么用,怎么没有用呢,同学，那咱们先好好听课，实在不行的话，我再给你安排其他方法,0.0
如果情况不允许，回放是唯一的选择,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,那这样行不行，你加我微信，我发给你回放地址，你进回放学,1.12925133750994e-231
领取的是图书还是知识手册,2本理财知识手册,是知识手册，不是图书,7.57965434483665e-155
能够按时给课的老师,好嘞，到时候老师会提前通知你，有任何问题，不懂的都可以随时来找我的啊~,可以的，你尽量按时听课，实在不行的话，到时候我给你安排回放学习,4.035849435697191e-155
我是来领取书的,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈,0.5889513097505535
时间不确定,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,1.0
给你地址信息,同学，咱们按时上完第一课，开课第二天我会找您登记地址的哈，连续听课4天就会安排邮寄了~,同学，咱们先开课吧,2.2139357851193948e-79
晚上是否在线呢，不知道,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,同学，您好！我们有9天的免费课程和邮寄手册哦,8.432010639666965e-232
可以不参与这个课程吗？,什么原因阿？同学,同学，咱们现在是9天的免费理财课，你要是不听课的话，那咱们这些理财知识咱们就没有机会学习了。,7.784451369270533e-232
是用来记笔记的吗,可以做笔记，这取决于您的个人情况~,是的，您可以在上面进行课程学习和笔记记录,1.4347128449946335e-231
到了晚上八点，我们开始夜班就复杂了,那同学咱们尽量按时听课，实在不行的话，老师再帮你安排回放学习吧,同学，那老师这边尽量给你安排9点以后的课，实在不行的话，你这时间段有时间听课吗,0.17797644045771208
知道了，非常感谢老师,不客气，有不懂得可以随时问我,不客气，有任何问题都可以随时问我,0.46924700641056
晚上我有空，可以回家看回放补课吗？,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,可以听回放的哈,1.4957881974825052e-233
这个礼包的获取是否需要我支付额外的金钱？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,同学，这9天理财课和邮寄手册都是免费的不花钱的哈,0.45104010274461254
回放这个选项是可行的吗？,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，咱们这次是线上课程，回放也是要开课后才能观看，开课后我单独发您回放观看链接哈,2.414029848472532e-78
不明白这是用来做什么的，会不会是骗人的陷阱？,当然不是骗子了同学~你看著名演员是我们品牌体验官，还有奥运冠军给我们送过祝福视频，如果是骗子，他们怎么能给我们送祝福，他们可比咱们普通人更重视自己的名声~,我这次给你安排的是9天8晚的免费理财课，专门教咱们小白理财知识和方法论的，你放心听就行,8.256935987179529e-232
我读小学二年级，我们说的是客家话,未满十八周岁是没法参与学习的,你好！同学，我们这边是普通话课程，你听不懂的话，我可以帮你申请一个免费的课后辅导名额，可以专门给你去普及一下金融理财知识，你听不懂的话，不懂得怎么理财,8.364937377160846e-232
晚班工作,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，您好！那您看这样行不行，9点的时候咱们给回放，您看回放出来后，您有时间了可以看回放,3.687040225934617e-78
你要待多久？,8点开始，课程时间大概一个多小时,有时间就多待会，没时间了就要走了,1.1896457329133973e-231
9天的课程内可以学到逆回购的实际操作吗？,可以学到的哈，老师会教咱们，耐心等待就行，到时候有问题及时问我，我也会一步步教你,咱们这9天课是教您学会理财的，包括了股票、基金、债券和期货等金融知识，还有如何通过掌握这些理财工具赚到钱的方法，以及一些防骗方法和理财防骗技巧。逆回购课程是在最后一天的理财进阶课上，会讲一下怎么操作逆回购，以及逆回购的原理和风险点,1.0446550074992694e-231
八点我有瑜伽课，只能看回放了。,可以听回放，回放出来后我单独发给你，你点击回放链接就可以观看课程,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,4.535506046608914e-155
老师，晚上八点我不能上课，因为我那时在工作，正处于最忙碌的阶段。,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学你好，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,0.9331509974194672
作业有机会重做吗？,同学，作业只能做一次哈，下节课还会有作业的，这次作业中如果遇到不懂不会的您随时问我就可以哈，我是您的专属老师，就是来帮助您解决学习中遇到的问题的,同学，咱们按时听课、按时完成当天的作业就可以有机会重听和重做。,1.4341674624708467e-155
加入启牛学堂后能否赚取收入？,我们教您的就是理财的知识，好好学是有机会给自己赚额外收入的,同学，咱们是免费的理财课哈，老师是义务为大家上课的，没有讲课费，您放心学习就行,1.2882297539194154e-231
这本书是免费的还是需要花钱的？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,免费的,1.5110737939507789e-159
今晚没时间，抱歉,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,同学，那这样行不行，开课后你进课堂待十几分钟打个卡，激活一下回放，到时候有时间了咱们看回放,1.0
命运的转变依赖于知识的积累,说的非常好！有问题随时和我说~,你这个观点很对，我同意。学习是一生的事情，不是说你上完大学、拿到证书就可以停止了，而是要持续不断的学习和进步，让自己成长和提升。,1.0003688322288243e-231
是不是不收任何费用,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,同学，咱们这9天课程和邮寄手册都是免费的哈，无任何套路，你放心学习就行,0.8389194389640203
这是没有收费的吗？,咱们这9天课程和邮寄手册都是免费的不花钱的哈，无任何套路，你放心学习就行,同学，咱们这次是免费的公益课，无任何套路，你放心学习就好,0.3273999219722896
能否把直播时间改到周六晚上？,咱们的课程要照顾大多数人的时间，没时间的话，你可以观看回放的，到时候可以先进入课程一下，回放出来后我发给你下，你就可以观看回放,同学，老师要上班，没时间啊,1.63523510049033e-79
现在在上什么课？,咱们9天的课会给你普及8种理财知识以及每天一个防骗知识的普及，是有机会增加非工资收入的,同学，你在哪里上课呀,7.649797440699143e-233
我有养老金，想知道能否利用起来,先学习，掌握方法后在做规划,您可以把您的养老金存入理财宝账户，这样您每天都可以拿到理财收益，而且随时可以支取，没有时间限制,7.919883909890055e-232
老师，领取书的方法是什么？,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们的书是免费邮寄给你的，地址就是咱们上课用的地址哈,2.202097522357862e-78
请去那边领取黄老师的纸质书籍,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们是免费赠送的书籍，无任何邮寄费用，您放心学习就行哈,1.9352813726220865e-78
上课的地点是哪里？,咱们是用手机上课，开课当天我会把上课链接发给你，微信点链接就能上课学习了,同学，咱们这次课程是在咱们咱们这9天的地址上课，不用特意跑来跑去,4.668667896057321e-155
我只想先查阅资料，可以吗？,下课后会发，每天资料都不一样的,当然可以了同学，你尽量去听老师讲课，实在不行的话，你可以看回放,8.614911585158347e-232
年纪大了是否还能学会新东西？,不用担心，你这次参加的就是小白课、老师就是用大白话讲课的，内容通俗易懂，来听一节课就知道了,当然可以，任何年龄段都可以学习新知识，只是年龄不同，接受能力会有所差异，所以要根据实际情况进行调整。,1.0332112772921225e-231
15岁合适吗？,未满十八周岁是没法参与学习的,15岁是可以的，但是要多加注意自己的身体变化和心理状态,1.0669733992029681e-231
我快50岁了，记忆力衰退，没有收入，一直在家带孩子，学习这个技能对我有用吗？,同学，其实你问这个问题的时候就已经有答案了，学这个是一定有用的，因为学习理财，有机会让咱们获得非体力、非脑力的额外收入。这个具体的内容呢，咱们上我们的课程，老师在课程中就会教你,你年龄并不大啊，不用担心哈，而且现在社会上大部分工作都是适合咱们这种年龄段的人的，无非是可能要付出的精力和时间多一点而已，你放心吧,2.6794097703705513e-155
这个有什么用途吗？,咱们是9天的免费理财课，给同学们专门去普及理财方法与防骗知识的~，你学会掌握了理财知识和方法以后，有机会让咱们每个月有个千八百甚至上千元的额外收益的哈，你听一节课就知道了同学,可以用来查看你的学情报告和成绩，以及你所在班级的课表,1.0327450581717792e-232
怎样把书交给指定的人,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈，连续听课4天就会安排邮寄了~,同学，咱们按时上完第一课，地址开课第二天我会找您登记的哈,0.5889513097505535
你们公司有营业执照这张证件吗？,有呀,同学，咱们是正规的教育机构，有自己的营业执照和办学许可的哈,8.844844403089351e-232
课程是不是在群里上？,对的哦您把学习群置顶，设置消息免打扰哈,是的，开课后我会把上课链接发给你，你点链接就可以上课了,1.1808001696991507e-231
这是多少时光？,8点开始，课程时间大概一个多小时,咱们这9天的课程和邮寄手册都是免费的，无任何套路,1.0669733992029681e-231
